id,itinerary_id,poi_id,description,budget,transport_type,transport_description,transport_budget,sort_order,created_at
114,1770651852312,B0FFH12WPA,,13.00,,,0.00,0,2026-02-09 15:46:50.182834
115,1770651852312,B001C8SBG2,,13.00,,,0.00,1,2026-02-09 15:46:50.202459
116,1770651852312,B0345001JL,,13.00,,,0.00,2,2026-02-09 15:46:50.218523
127,aaron_itin_1770477811056,aaron_B0JKJZHOCS,早午饭，丽江古城附近觅食,0.00,driving,打车28km，40分钟,0.00,0,2026-02-10 15:11:19.191156
128,aaron_itin_1770477811056,aaron_B037800926,,0.00,,,0.00,1,2026-02-10 15:11:19.220850
45,aaron_itin_1770474320845,aaron_B03670W1Y7,,0.00,driving,打车3.2km，10分钟,12.00,0,2026-02-09 11:31:50.298439
46,aaron_itin_1770474320845,aaron_B0K1L5ARNE,可以吃点当地特色,0.00,walking,步行逛过去即可，大约18分钟,0.00,1,2026-02-09 11:31:50.731459
47,aaron_itin_1770474320845,aaron_B0367065BF,逛一逛即可,0.00,driving,打车14km，33分钟,38.00,2,2026-02-09 11:31:51.174836
48,aaron_itin_1770474320845,aaron_B036702E39,打打卡拍拍照,0.00,driving,打车16km，26分钟,37.00,3,2026-02-09 11:31:51.631604
49,aaron_itin_1770474320845,aaron_B0FFGF6XB3,选择性去，因为离酒店比较远，主要是看花买花,0.00,driving,打车21.5km，25分钟,40.00,4,2026-02-09 11:31:52.071514
50,aaron_itin_1770474320845,aaron_B03670W1Y7,,0.00,,,0.00,5,2026-02-09 11:31:52.525683
51,aaron_itin_1770477639209,aaron_B03670W1Y7,,0.00,driving,打车2.2km，6分钟,10.00,0,2026-02-09 11:31:53.392848
52,aaron_itin_1770477639209,aaron_B036705IZ2,,0.00,train,预算已在交通预算中计算过,0.00,1,2026-02-09 11:31:53.821846
53,aaron_itin_1770477639209,aaron_B03680030R,在大理站附近租车，租车预算已另外记录,0.00,driving,3.8km，16分钟,0.00,2,2026-02-09 11:31:54.259468
54,aaron_itin_1770477639209,aaron_B0FFLLKKUM,,0.00,driving,14km，42分钟,0.00,3,2026-02-09 11:31:54.688620
55,aaron_itin_1770477639209,aaron_B0J69YTGKJ,晚饭，大理古城觅食,0.00,,,0.00,4,2026-02-09 11:31:55.141325
56,aaron_itin_1770477655864,aaron_B0J1TSCF6W,早午饭，大理古城附近觅食,0.00,,,0.00,0,2026-02-09 11:31:56.032824
57,aaron_itin_1770477655864,aaron_B0368005Z0,,0.00,,,0.00,1,2026-02-09 11:31:56.489226
58,aaron_itin_1770477655864,aaron_B0FFI6ZBLL,,0.00,,,0.00,2,2026-02-09 11:31:56.988304
59,aaron_itin_1770477655864,aaron_B0368000BB,,0.00,,,0.00,3,2026-02-09 11:31:57.468120
60,aaron_itin_1770477655864,aaron_B0J69YTGKJ,晚饭，古城觅食,0.00,,,0.00,4,2026-02-09 11:31:57.915649
61,aaron_itin_1770477663648,aaron_B0J1TSCF6W,早饭，古城觅食,0.00,driving,19km，47分钟,0.00,0,2026-02-09 11:31:58.806080
62,aaron_itin_1770477663648,aaron_B0FFH27SSH,下午，喜洲古镇可以逛逛吃吃,0.00,driving,沿环海路前往双廊海景房，32km，1小时10分钟,0.00,1,2026-02-09 11:31:59.242179
63,aaron_itin_1770477663648,aaron_B0K3YOJNBZ,晚饭，双廊古镇觅食,0.00,,,0.00,2,2026-02-09 11:31:59.679385
64,aaron_itin_1770477693189,aaron_B0K3YOJNBZ,早饭，双廊古镇觅食,0.00,driving,,0.00,0,2026-02-09 11:32:00.552649
65,aaron_itin_1770477693189,aaron_B0368000B7,海上一个小岛，可以打卡拍照,0.00,driving,,0.00,1,2026-02-09 11:32:00.990201
66,aaron_itin_1770477693189,aaron_B0L0O5IV42,有通向海里的彩虹公路，可以在文笔村或理想邦吃点东西,0.00,driving,,0.00,2,2026-02-09 11:32:01.440586
67,aaron_itin_1770477693189,aaron_B0FFGJWJA3,地中海风格建筑，可以打卡拍照,0.00,driving,,0.00,3,2026-02-09 11:32:01.868985
68,aaron_itin_1770477693189,aaron_B03680030R,晚饭在大理站附近觅食,0.00,,,0.00,4,2026-02-09 11:32:02.314115
69,aaron_itin_1770477693189,aaron_B0K1DADB52,,0.00,,,0.00,5,2026-02-09 11:32:02.785023
70,aaron_itin_1770477786896,aaron_B0K1DADB52,,0.00,,,0.00,0,2026-02-09 11:32:03.657589
71,aaron_itin_1770477786896,aaron_B03680030R,早午饭，在大理站附近觅食,0.00,train,,0.00,1,2026-02-09 11:32:04.092008
72,aaron_itin_1770477786896,aaron_B037814F71,,0.00,,,0.00,2,2026-02-09 11:32:04.535361
73,aaron_itin_1770477786896,aaron_B0JKJZHOCS,晚饭，在丽江古城觅食,0.00,,,0.00,3,2026-02-09 11:32:04.978661
74,aaron_itin_1770477795368,aaron_B0JKJZHOCS,早午饭，在丽江古城觅食,0.00,bus,,0.00,0,2026-02-09 11:32:05.858838
75,aaron_itin_1770477795368,aaron_B03780IGNC,,0.00,bus,101大巴，15/人，两人票,30.00,1,2026-02-09 11:32:06.294343
76,aaron_itin_1770477795368,aaron_B0KUSZLB3O,,0.00,,,0.00,2,2026-02-09 11:32:06.725996
77,aaron_itin_1770477795368,aaron_B0378157WA,,0.00,,,0.00,3,2026-02-09 11:32:07.176451
78,aaron_itin_1770477795368,aaron_B0KUSZLB3O,,0.00,bus,101大巴15/人，两人票,30.00,4,2026-02-09 11:32:07.625612
79,aaron_itin_1770477795368,aaron_B03780IGNC,,0.00,,,0.00,5,2026-02-09 11:32:08.063643
94,aaron_itin_1770468126091,aaron_B03670W002,,0.00,driving,,50.00,0,2026-02-09 12:37:11.930470
95,aaron_itin_1770468126091,aaron_B03670W1Y7,,0.00,,,0.00,1,2026-02-09 12:37:11.947132
